id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1165281504458678272,1165281504458678272,1566659735000,2019-08-24,18:15:35,MSK,803266829321801729,dwaynemcdevitt,Dwayne McDevitt,,"This video exposing climate change propaganda regarding the Amazon forest fire & the offer to buy Greenland shows how the phrase 'Scientists say' is equal to the phrase 'Sources say', which has been used by the fake news media often. Very informative.

 https://youtu.be/5VHqx8znT1A ",[],['https://youtu.be/5VHqx8znT1A'],[],0,0,0,[],[],https://twitter.com/DwayneMcDevitt/status/1165281504458678272,False,,0,,,,,,,"[{'user_id': '803266829321801729', 'username': 'DwayneMcDevitt'}]",
1165203257276297217,1165203257276297217,1566641079000,2019-08-24,13:04:39,MSK,1049259861869883392,notesseekers,SeekersThoughts,,The Amazon Forest Fire #environment # #climatechange #india #pollution #sustainability #watercrisis #health #wildlife #original #news #amazon #forestfire https://www.seekersthoughts.com/2019/08/end-of-human-civilzation-is-near.html#.XWELdV1e3fw.twitter …,[],['https://www.seekersthoughts.com/2019/08/end-of-human-civilzation-is-near.html#.XWELdV1e3fw.twitter'],[],0,0,0,"['#environment', '#climatechange', '#india', '#pollution', '#sustainability', '#watercrisis', '#health', '#wildlife', '#original', '#news', '#amazon', '#forestfire']",[],https://twitter.com/notesseekers/status/1165203257276297217,False,,0,,,,,,,"[{'user_id': '1049259861869883392', 'username': 'notesseekers'}]",
1165171905818767360,1165171905818767360,1566633604000,2019-08-24,11:00:04,MSK,20751449,the_hindu,The Hindu,,"How will the forest fire in #Amazon affect climate change?
 https://trib.al/6qlTMy8 ",[],['https://trib.al/6qlTMy8'],[],3,22,88,['#amazon'],[],https://twitter.com/the_hindu/status/1165171905818767360,False,,0,,,,,,,"[{'user_id': '20751449', 'username': 'the_hindu'}]",
1165129775419146242,1165129775419146242,1566623560000,2019-08-24,08:12:40,MSK,2741751,arben,Arben Kane,,NASA's Amazon forest fire map shows just how much trouble we're in #ClimateChange  https://www.slashgear.com/nasas-amazon-forest-fire-map-shows-just-how-much-trouble-were-in-23588502/ …,[],['https://www.slashgear.com/nasas-amazon-forest-fire-map-shows-just-how-much-trouble-were-in-23588502/'],[],1,0,2,['#climatechange'],[],https://twitter.com/Arben/status/1165129775419146242,False,,0,,,,,,,"[{'user_id': '2741751', 'username': 'Arben'}]",
1165105167085318145,1165105167085318145,1566617693000,2019-08-24,06:34:53,MSK,4035053313,sperlock222,kenly dillard,,"IT DOES NOT LOOK GOOD.""RUSSIA SENDING THE WORLDS FIRST FLOATING REACTOR ACROSS THE ARTIC.""THE AMAZON RAIN FOREST FIRE STARTED BY PEOPLE"",AND DESPITE ICELANDS ACTIVIST HOLDING A FUNERAL FOR ITS  FIRST GLACIER LOST TO CLIMATE CHANGE, ""THE DIRE MESSAGE IS NOT GETTING THROUGH"".  pic.twitter.com/Yq3q94O6nU",[],[],"['https://pbs.twimg.com/media/ECtI90zXYAEP2Us.jpg', 'https://pbs.twimg.com/media/ECtI90yXYAAy6ix.jpg']",0,6,1,[],[],https://twitter.com/sperlock222/status/1165105167085318145,False,,0,,,,,,,"[{'user_id': '4035053313', 'username': 'sperlock222'}]",
1165096046437027840,1165022004392681472,1566615518000,2019-08-24,05:58:38,MSK,25075591,borisw1964,Boris White,,Is he saying climate change is real! And that the amazon forest are the lungs of the planet!   Stop the forest fire!,"['realdonaldtrump', 'jairbolsonaro']",[],[],0,0,0,[],[],https://twitter.com/Borisw1964/status/1165096046437027840,False,,0,,,,,,,"[{'user_id': '25075591', 'username': 'Borisw1964'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '128372940', 'username': 'jairbolsonaro'}]",
1165078233655566336,1165078233655566336,1566611271000,2019-08-24,04:47:51,MSK,103860319,avadiax,Avadiax,,"Oh dear ... as if the climate change issue is not bad enough already, Amazon forest fire is just going to make it worse ... much worse.  https://www.nasa.gov/feature/jpl/nasas-airs-maps-carbon-monoxide-from-brazil-fires …",[],['https://www.nasa.gov/feature/jpl/nasas-airs-maps-carbon-monoxide-from-brazil-fires'],[],0,0,0,[],[],https://twitter.com/avadiax/status/1165078233655566336,False,,0,,,,,,,"[{'user_id': '103860319', 'username': 'avadiax'}]",
1165019928807780352,1165019928807780352,1566597370000,2019-08-24,00:56:10,MSK,1067063508926427138,anegativenelly,Negative Nelly,,"Who the fuck cares about what celebrities have to say about the Amazon Rain Forest Fire?
Get back in you private jets and fuck off!
#ClimateChange #AmazonFires",[],[],[],0,0,0,"['#climatechange', '#amazonfires']",[],https://twitter.com/ANegativeNelly/status/1165019928807780352,False,,0,,,,,,,"[{'user_id': '1067063508926427138', 'username': 'ANegativeNelly'}]",
1164950507900809216,1164950507900809216,1566580819000,2019-08-23,20:20:19,MSK,2353881211,cat4hurricane,Alex,,"Hey @SeanCasten I’m part of your district, and I was wondering if you could bring up the whole Amazon forest fire thing up in your work? Maybe get some official backing so the US can help out? Thanks for helping out on the climate change front.",['seancasten'],[],[],0,0,0,[],[],https://twitter.com/cat4hurricane/status/1164950507900809216,False,,0,,,,,,,"[{'user_id': '2353881211', 'username': 'cat4hurricane'}, {'user_id': '66804351', 'username': 'SeanCasten'}]",
1164900493556092929,1164900493556092929,1566568895000,2019-08-23,17:01:35,MSK,131940632,wearecognitive,Cogni+ive,,The current forest fire in the Amazon is caused by climate change. Watch Cognitive’s founder Andrew Park’s “Illustrated Philosopher Episode 04: The Beast and the Bear” on #Vimeo  https://vimeo.com/265640301  with @philosophybites which deals with other aspects of #ClimateChange  pic.twitter.com/c40GLCthaY,['philosophybites'],['https://vimeo.com/265640301'],['https://pbs.twimg.com/media/ECqO0nFW4AAtW0K.jpg'],0,1,5,"['#vimeo', '#climatechange']",[],https://twitter.com/wearecognitive/status/1164900493556092929,False,,0,,,,,,,"[{'user_id': '131940632', 'username': 'wearecognitive'}, {'user_id': '37238862', 'username': 'philosophybites'}]",
